response_availability,cohort_size,d100
7,100,0.3842325754
8,100,0.2733269609
9,100,0.2868305159
10,100,0.2780820031
11,100,0.2527872117
12,100,0.2648249342
13,100,0.273629294
14,100,0.2457349907
15,100,0.2862444468
16,100,0.242791277
17,100,0.2559971046
18,100,0.2550660403
19,100,0.2614847418
20,100,0.2543073157
21,100,0.2801169059
22,100,0.2386236336
23,100,0.2501982194
24,100,0.2360676363
25,100,0.05424829749
26,100,0.2800006804
27,100,0.2635334371
28,100,0.1816502602
35,100,0.2296184348
42,100,0.1920000897
49,100,0.1685465668
56,100,0.1225794909
63,100,0.01722719169
7,500,0.1816324974
8,500,0.1849588409
9,500,0.1127467073
10,500,0.1147261179
11,500,0.1062977279
12,500,0.107242636
13,500,0.1106982919
14,500,0.09639338634
15,500,0.1283655731
16,500,0.130629166
17,500,0.1058653802
18,500,0.1156943374
19,500,0.108939808
20,500,0.153899277
21,500,0.1318972377
22,500,0.1207454675
23,500,0.1166826065
24,500,0.1278111297
25,500,0.1855195949
26,500,0.130098731
27,500,0.1119495161
28,500,0.1092139044
35,500,0.06440787706
42,500,0.09511900153
49,500,0.08934770353
56,500,0.07562282887
63,500,0.06783476099
7,1000,0.1315867516
8,1000,0.08378783927
9,1000,0.08409965342
10,1000,0.07529895206
11,1000,0.05245944943
12,1000,0.08011209759
13,1000,0.08401098658
14,1000,0.08936937
15,1000,0.08413089996
16,1000,0.07304087925
17,1000,0.08759684938
18,1000,0.1032013889
19,1000,0.08096648505
20,1000,0.07594049708
21,1000,0.08036749177
22,1000,0.09393080864
23,1000,0.0960667135
24,1000,0.07657019821
25,1000,0.07404660822
26,1000,0.09205617092
27,1000,0.09387031435
28,1000,0.08732022644
35,1000,0.08644702418
42,1000,0.06216671709
49,1000,0.08432232716
56,1000,0.0573448573
63,1000,0.04751590396
7,2000,0.1294633211
8,2000,0.06763338638
9,2000,0.06660415014
10,2000,0.06668312701
11,2000,0.06311605211
12,2000,0.06490563142
13,2000,0.06401091729
14,2000,0.0254582127
15,2000,0.06541530198
16,2000,0.0652743894
17,2000,0.07531255448
18,2000,0.06676758817
19,2000,0.066822544
20,2000,0.06219579553
21,2000,0.06795319332
22,2000,0.06653301454
23,2000,0.05541789518
24,2000,0.06063669932
25,2000,0.06034156928
26,2000,0.06362301609
27,2000,0.06345863631
28,2000,0.06029748043
35,2000,0.06197851627
42,2000,0.05795615355
49,2000,0.05366558777
56,2000,0.04736870994
63,2000,0.03891386946
7,3000,0.1034007327
8,3000,0.06993435895
9,3000,0.06700084103
10,3000,0.06612484298
11,3000,0.06766821485
12,3000,0.06630872654
13,3000,0.06788232622
14,3000,0.06897647126
15,3000,0.06800675385
16,3000,0.06723877642
17,3000,0.0697097712
18,3000,0.07057087039
19,3000,0.06828536411
20,3000,0.06977493399
21,3000,0.06908949171
22,3000,0.06891095823
23,3000,0.06737996963
24,3000,0.06411767978
25,3000,0.06528043395
26,3000,0.06592788232
27,3000,0.06605013126
28,3000,0.06588547853
35,3000,0.06345544714
42,3000,0.05966288424
49,3000,0.0559505388
56,3000,0.05157397669
63,3000,0.04570628711
7,4000,0.09265362951
8,4000,0.05997973836
9,4000,0.0570858944
10,4000,0.05535535308
11,4000,0.05807653843
12,4000,0.05756733107
13,4000,0.0586671771
14,4000,0.05939150069
15,4000,0.05885639195
16,4000,0.05734375154
17,4000,0.06066118721
18,4000,0.06065712412
19,4000,0.05833164803
20,4000,0.06007574014
21,4000,0.05848904051
22,4000,0.05874193888
23,4000,0.05812945453
24,4000,0.05470503596
25,4000,0.05595145104
26,4000,0.05686785982
27,4000,0.0566830276
28,4000,0.05720735741
35,4000,0.05453904649
